"Betriebsname","Strasse","Nr.","Kreis","PLZ","Ort","Oeffnungszeit","Betriebsart","Status","X","Y"
"Easy Bar","Freilagerstrasse ",1,9,8047,"Zürich",,"Gastwirtschaft","Offen",679590.09,248000.179
"Eat & Meat","Müllerstrasse ",16,4,8004,"Zürich",,"Gastwirtschaft","Offen",682518.392,247627.318
"Eat + Meet","Binzring ",15,3,8045,"Zürich",,"Gastwirtschaft","Offen",680867.394,246198.215
"Eau","Dennlerstrasse",43,9,8047,"Zürich",,"Gastwirtschaft","Offen",680063.977,248225.977
"Eden au Lac","Utoquai",45,8,8023,"Zürich",,"Gastwirtschaft","Offen",683753.174,246360.064
"Eglihof","Eglistrasse",2,4,8004,"Zürich",,"Gastwirtschaft","Offen",680955.819,248684.782
"Eichhörnli","Nietengasse",16,4,8004,"Zürich",,"Gastwirtschaft","Offen",682092.03,248219.589
"Eisenhof","Gasometerstrasse",20,5,8005,"Zürich",,"Gastwirtschaft","Offen",682313.794,248660.689
"El Agave","Flurstrasse ",4,9,8048,"Zürich",,"Gastwirtschaft","Offen",679902.207,249096.881
"Elefant","Witikonerstrasse",279,7,8053,"Zürich",,"Gastwirtschaft","Offen",686645.468,245947.352
"Eleven ","Kruggasse",5,1,8001,"Zürich",,"Gastwirtschaft","Offen",683588.44,246979.472
"Elisaburg","Elisabethenstrasse",3,4,8004,"Zürich",,"Gastwirtschaft","Offen",681910.609,247408.961
"Ema House","Nordstrasse",1,6,8006,"Zürich",,"Gastwirtschaft","Offen",683187.518,248671.338
"Emilia","Albisriederstrasse",330,9,8047,"Zürich",,"Gastwirtschaft","Offen",679230.735,247769.193
"Emilio","Zweierstrasse",9,4,8004,"Zürich",,"Gastwirtschaft","Offen",682213.79,247471.368
"Emo","Predigerplatz ",38,1,8001,"Zürich",,"Nebenwirtschaft","Offen",683628.174,247573.124
"Engimatt","Engimattstrasse",14,2,8002,"Zürich",,"Gastwirtschaft","Offen",682047.617,245984.038
"Entenhuus","Alfred-Escher-Strasse ",11,2,8002,"Zürich",,"Gastwirtschaft","Offen",682658.688,246601.16
"Enzian","Thurgauerstrasse",36,11,8050,"Zürich",,"Nebenwirtschaft","Offen",683996.977,252043.896
"Erlenhof","Lagerstrasse",119,4,8004,"Zürich",,"Gastwirtschaft","Offen",682303.673,248236.522
"Escoffier","Feldeggstrasse",49,8,8008,"Zürich",,"Gastwirtschaft","Offen",684140.474,246121.921
"Espas Cafeteria","Naglerwiesenstrasse",4,10,8049,"Zürich",,"Gastwirtschaft","Offen",678820.156,251949.145
"Espressino Due","Bahnhofpassage ","Shop Ville",1,8001,"Zürich",,"Gastwirtschaft","Offen",683123,247983
"Europa","Englischviertelstrasse",42,7,8032,"Zürich",,"Gastwirtschaft","Offen",684514.934,246802.644
"Ev. ref. Kirchgemeindehaus","Limmatstrasse",114,5,8005,"Zürich",,"Gastwirtschaft","Offen",682663.218,248701.321
"Evang. Kirchgemeindehaus","Witikonerstrasse",288,7,8053,"Zürich ",,"Gastwirtschaft","Offen",686675.418,245857.502
"Exer","Tellstrasse",10,4,8004,"Zürich",,"Gastwirtschaft","Offen",682312.618,248067.857
"F + F Schule für Gestaltung und Mediendesign","Flurstrasse ",89,9,8047,"Zürich",,"Kantine / Mensa","Offen",679588.937,248426.793
"Fantasia","Seebacherstrasse",167,11,8052,"Zürich",,"Gastwirtschaft","Offen",682797.203,252717.711
"Farbhof","Badenerstrasse",753,9,8048,"Zürich",,"Gastwirtschaft","Offen",678503.663,249427.432
"Farbhof Shop","Karstlernstrasse",2,9,8048,"Zürich",,"Nebenwirtschaft","Offen",678532.055,249349.44
"Fein und Schein","Schöntalstrasse",14,4,8004,"Zürich",,"Gastwirtschaft","Offen",682230.214,247195.829
"Felsenberg","Felsenrainweg",19,11,8052,"Zürich",,"Gastwirtschaft","Offen",683481.332,252535.858
"Ferdinand","Gutstrasse",2,3,8055,"Zürich",,"Gastwirtschaft","Offen",680958.492,247141.558
"Ferlin","Stampfenbachstrasse",38,6,8006,"Zürich",,"Gastwirtschaft","Offen",683424.516,248251.695
"Filmpodium","Nüschelerstrasse",11,1,8001,"Zürich",,"Gastwirtschaft","Offen",682943.634,247318.208
"Fine Choice","Hofwiesenstrasse",376,11,8050,"Zürich",,"Gastwirtschaft","Offen",683501.541,251757.637
"Fink","Josefstrasse",146,5,8005,"Zürich",,"Gastwirtschaft","Offen",682235.418,248790.879
"Fischer","Schaffhauserstrasse",520,11,8052,"Zürich",,"Gastwirtschaft","Offen",683964.16,253036.751
"Fischers-Fritz","Seestrasse",557,2,8038,"Zürich",,"Gastwirtschaft","Offen",683406.775,243368.912
"Fischstube","Bellerivestrasse",160,8,8008,"Zürich",,"Gastwirtschaft","Offen",684015.075,245284.327
"Fitnesspark Münstergasse","Blaufahnenstrasse",3,1,8001,"Zürich",,"Gastwirtschaft","Offen",683547.79,247269.29
"Fleisch am Chnoche - The New Lips","Trichtenhausenstrasse",235,7,8053,"Zürich",,"Gastwirtschaft","Offen",687912.957,245099.566
"Fleur au Lac Blumen + Kaffee ","Birmensdorferstrasse",174,3,8003,"Zürich",,"Nebenwirtschaft","Offen",681519.736,247200.47
"Florhof","Florhofgasse",4,1,8001,"Zürich",,"Gastwirtschaft","Offen",683841.279,247416.056
"Flying Pizza","Nordstrasse ",245,10,8037,"Zürich",,"Nebenwirtschaft","Offen",682198.631,249813.186
"Foodlab ETH ","Universitätstrasse ",6,6,8006,"Zürich",,"Gastwirtschaft","Offen",683832.06,248094.016
"Foodpoint","Forchstrasse ",4,8,8008,"Zürich",,"Gastwirtschaft","Offen",684331.885,246537.261
"Footlounge by Labo Spa","Nüschelerstrasse ",35,1,8001,"Zürich",,"Nebenwirtschaft","Offen",682835.094,247437.182
"Fork & Bottle","Allmendstrasse",20,2,8002,"Zürich",,"Gastwirtschaft","Offen",682033.748,245166.924
"Francos Pizza Service","Wattstrasse ",7,11,8050,"Zürich",,"Gastwirtschaft","Offen",683509.32,251952.179
"Frascati","Bellerivestrasse",2,8,8008,"Zürich",,"Gastwirtschaft","Offen",683799.712,246158.918
"Freibad Allenmoos","Ringstrasse",79,6,8057,"Zürich",,"Gastwirtschaft","Offen",683055.765,251101.224
"Freibad Seebach","Glatttalstrasse ",41,11,8052,"Zürich",,"Gastwirtschaft","Offen",683725.463,253137.158
"Freieck","Wildbachstrasse",42,8,8008,"Zürich",,"Gastwirtschaft","Offen",684500.695,245689.355
"Freihof","Badenerstrasse",540,9,8048,"Zürich",,"Gastwirtschaft","Offen",680122.396,248598.783
"Freshii","Militärstrasse",14,4,8004,"Zürich",,"Gastwirtschaft","Offen",682665.886,247865.905
"Freytag","Alderstrasse",49,8,8008,"Zürich",,"Gastwirtschaft","Offen",684323.901,245725.274
"Fribourger Fondue","Rotwandstrasse",38,4,8004,"Zürich",,"Gastwirtschaft","Offen",682286.97,247702.085
"Friedbrunnen","Püntstrasse",9,9,8047,"Zürich",,"Gastwirtschaft","Offen",679047.888,247635.015
"Frieden","Stampfenbachstrasse",32,6,8006,"Zürich",,"Gastwirtschaft","Offen",683442.377,248192.349
"Frieden","Wehntalerstrasse",444,11,8046,"Zürich",,"Gastwirtschaft","Offen",681087.071,252218.494
"Friends Corner","Josefstrasse",140,5,8005,"Zürich",,"Gastwirtschaft","Offen",682283.45,248755.881
"Fujiya of Japan","Tessinerplatz",5,2,8002,"Zürich",,"Gastwirtschaft","Offen",682600.528,246522.702
"Furetto","Wallisellenstrasse ",5,11,8050,"Zürich",,"Gastwirtschaft","Offen",683676.553,251660.316
"Füchsli","Drahtzugstrasse",5,7,8008,"Zürich",,"Gastwirtschaft","Offen",684780.911,246216.36
"GAUCHO","Nietengasse",1,4,8004,"Zürich",,"Gastwirtschaft","Offen",682041.564,248157.397
"GIARDINO","Reckenholzstrasse",191,11,8046,"Zürich",,"Gastwirtschaft","Offen",681413.068,253666.164
"Galerie","Witikonerstrasse",409,7,8053,"Zürich",,"Gastwirtschaft","Offen",687351.456,246120.745
"Gambler's Pub","Glatttalstrasse",40,11,8052,"Zürich",,"Gastwirtschaft","Offen",683738.996,253301.293
"Gambrinus","Langstrasse",103,4,8004,"Zürich",,"Gastwirtschaft","Offen",682188.698,248108.093
"Gandria","Rudolfstrasse",6,8,8008,"Zürich",,"Gastwirtschaft","Offen",684529.831,245725.808
"Gartenrestaurant Bärengasse","Bärengasse ",22,1,8001,"Zürich",,"Gastwirtschaft","Offen",682918.262,247115.038
"Gasthof Löwen","Wehntalerstrasse",544,11,8046,"Zürich",,"Gastwirtschaft","Offen",680563.108,252613.823
"Gasthof zum weissen Rössli","Albisriederstrasse",379,9,8047,"Zürich",,"Gastwirtschaft","Offen",678962.66,247656.39
"Gastro Zürich","Blumenfeldstrasse",22,11,8046,"Zürich",,"Gastwirtschaft","Offen",680391.628,252877.996
"Gaucho","Nietengasse",18,4,8004,"Zürich",,"Gastwirtschaft","Offen",682100.766,248230.301
"Gelber Schnabel","Zinnengasse",9,1,8001,"Zürich",,"Gastwirtschaft","Offen",683287.911,247213.988
"Gemeinschaftsraum Genossenschaft Dreieck","Zweierstrasse",42,4,8004,"Zürich",,"Gastwirtschaft","Offen",682042.476,247447.169
"Gemeinschaftszentrum Affoltern","Bodenacker",25,11,8046,"Zürich",,"Gastwirtschaft","Offen",680911.977,253201.067
"Gemeinschaftszentrum Bachwiesen","Bachwiesenstrasse",40,9,8047,"Zürich",,"Gastwirtschaft","Offen",679099.099,248207.529
"Gemeinschaftszentrum Buchegg","Bucheggstrasse",93,6,8057,"Zürich",,"Gastwirtschaft","Offen",682772.06,250375.917
"Gemeinschaftszentrum Grünau","Grünauring",18,9,8064,"Zürich",,"Gastwirtschaft","Offen",679370.158,249998.499
"Gemeinschaftszentrum Hirzenbach","Helen-Keller-Strasse",55,12,8051,"Zürich",,"Gastwirtschaft","Offen",687046.914,250842.302
"Gemeinschaftszentrum Hottingen","Gemeindestrasse",54,7,8032,"Zürich",,"Gastwirtschaft","Offen",684411.136,247110.519
"Gemeinschaftszentrum Höngg","Limmattalstrasse",214,10,8049,"Zürich",,"Gastwirtschaft","Offen",679911.05,250696.675
"Gemeinschaftszentrum Leimbach","Rebenweg",6,2,8041,"Zürich",,"Gastwirtschaft","Offen",681234.486,243156.839
"Gemeinschaftszentrum Loogarten","Salzweg",1,9,8048,"Zürich",,"Gastwirtschaft","Offen",678062.689,249142.51
"Gemeinschaftszentrum Oerlikon","Gubelstrasse",10,11,8050,"Zürich",,"Gastwirtschaft","Offen",683559.994,251367.791
"Gemeinschaftszentrum Riesbach","Seefeldstrasse",93,8,8008,"Zürich",,"Gastwirtschaft","Offen",684259.059,245969.454
"Gemeinschaftszentrum Rütihof","Hurdäckerstrasse",6,10,8049,"Zürich",,"Gastwirtschaft","Offen",678325.631,251969.056
"Gemeinschaftszentrum Schindlergut","Kronenstrasse",12,6,8006,"Zürich",,"Gastwirtschaft","Offen",682867.743,249014.352
"Gemeinschaftszentrum Seebach","Hertensteinstrasse",20,11,8052,"Zürich",,"Gastwirtschaft","Offen",683389.618,253243.063
"Gemeinschaftszentrum Wipkingen","Breitensteinstrasse","19a",10,8037,"Zürich",,"Gastwirtschaft","Offen",681654.613,249698.362
"Gemeinschaftszentrum Witikon","Witikonerstrasse",405,7,8053,"Zürich",,"Gastwirtschaft","Offen",687296.61,246104.856
"Gerdi's und Edi's Parkhausgrill","Andreasstrasse","geg. 65",11,8050,"Zürich",,"Ausgabestelle","Offen",684129.281,251993.412
"Gertrudhof","Gertrudstrasse",26,3,8003,"Zürich",,"Gastwirtschaft","Offen",681351.298,247569.178
"Giessereihalle","Giessereistrasse ",18,5,8005,"Zürich",,"Gastwirtschaft","Offen",681460.42,249377.271
"Ginger","Seefeldstrasse",62,8,8008,"Zürich",,"Gastwirtschaft","Offen",684003.39,246261.73
"Giusi's","Zollikerstrasse",10,8,8008,"Zürich",,"Gastwirtschaft","Offen",684292.161,246479.039
"Gleis 9 (Ost)","Affolternstrasse ",52,11,8050,"Zürich",,"Gastwirtschaft","Offen",683204.293,251694.299
"Globus","Schweizergasse ",11,1,8001,"Zürich",,"Gastwirtschaft","Offen",683028.495,247807.083
"Globus am Bellevue","Theaterstrasse",12,1,8001,"Zürich",,"Gastwirtschaft","Offen",683679.374,246784.556
"Glockenhof","Sihlstrasse",31,1,8001,"Zürich",,"Gastwirtschaft","Offen",682919.791,247475.401
"Gloria Bar","Gloriastrasse",35,7,8006,"Zürich",,"Gastwirtschaft","Offen",684152.026,247991.65
"Glärnischhof","Claridenstrasse",30,2,8002,"Zürich",,"Gastwirtschaft","Offen",682992.09,246892.908
"Gnädinger","Schaffhauserstrasse",57,6,8057,"Zürich",,"Gastwirtschaft","Offen",683046.428,249620.261
"Gnüsserei","Giessereistrasse ",18,5,8005,"Zürich",,"Gastwirtschaft","Offen",681460.42,249377.271
"Goldenes Schloss","Fabrikstrasse",12,5,8005,"Zürich",,"Gastwirtschaft","Offen",682289.758,249056.907
"Golosone","Uraniastrasse",20,1,8001,"Zürich",,"Gastwirtschaft","Offen",682884.26,247606.384
"Golosone Bar","Lutherstrasse",4,4,8004,"Zürich",,"Gastwirtschaft","Offen",682405.662,247570.345
"Gonzalez","Schaffhauserstrasse",121,6,8057,"Zürich",,"Gastwirtschaft","Offen",683162.323,250073.917
"Goodman","Brandschenkestrasse",20,1,8002,"Zürich",,"Gastwirtschaft","Offen",682624.729,247076.589
"Gourmet Kiosk","Beckenhofstrasse",72,6,8006,"Zürich",,"Nebenwirtschaft","Offen",683151.704,249104.534
"Gran Café Motta","Limmatquai",66,1,8001,"Zürich",,"Gastwirtschaft","Offen",683407.521,247421.972
"Gran Sasso","Aegertenstrasse",2,3,8003,"Zürich",,"Gastwirtschaft","Offen",681977.942,246955.195
"Green Papaya Asia Take Away Ngo","Alte Kalchbühlstrasse",9,2,8038,"Zürich",,"Kleinwirtschaft","Offen",682531.295,243882.92
"Greulich Hotel","Herman-Greulich-Strasse ",56,4,8004,"Zürich",,"Gastwirtschaft","Offen",681704.072,248087.102
"Grieder Bar","Bahnhofstrasse",30,1,8001,"Zürich",,"Nebenwirtschaft","Offen",683128.068,247208.133
"Grottino 77","Aemtlerstrasse",11,3,8003,"Zürich",,"Gastwirtschaft","Offen",681397.208,247231.41
"Grottino 83","Letzigraben",245,9,8047,"Zürich",,"Gastwirtschaft","Offen",679588.336,247105.674
"Grottino 85","Stampfenbachstrasse",102,6,8006,"Zürich",,"Gastwirtschaft","Offen",683266.837,248617.755
"Grotto Reale","Martastrasse",145,3,8003,"Zürich",,"Gastwirtschaft","Offen",681121.564,247651.902
"Grundstein","Limmatstrasse",29,5,8005,"Zürich",,"Gastwirtschaft","Offen",682882.724,248376.723
"Grün Stadt Zürich Gutsbetrieb Juchhof","Bernerstrasse",301,9,8048,"Zürich",,"Gastwirtschaft","Offen",677954.064,250219.716
"Grünau","Bändlistrasse",10,9,8064,"Zürich",,"Gastwirtschaft","Offen",679372.553,249911.371
"Grüntal","Breitensteinstrasse",21,10,8037,"Zürich",,"Gastwirtschaft","Offen",681712.801,249708.43
"Gärtnerei","Stockerstrasse",55,2,8002,"Zürich",,"Gastwirtschaft","Offen",682731.355,247014.838
"Gärtnerei","Sihlstrasse",21,1,8001,"Zürich",,"Gastwirtschaft","Offen",682967.613,247524.184
"HITZBERGER Hauptbahnhof","Bahnhofplatz",15,1,8001,"Zürich",,"Ausgabestelle","Offen",683182.716,247978.398
"HITZBERGER Zürich Puls 5","Giessereistrasse ",18,5,8005,"Zürich",,"Gastwirtschaft","Offen",681460.42,249377.271
"HITZBERGER Zürich Sihlcity","Kalanderplatz ",1,3,8045,"Zürich",,"Gastwirtschaft","Offen",681936.061,245809.572
"Haldenbach","Haldenbachstrasse",3,6,8006,"Zürich",,"Gastwirtschaft","Offen",683696.522,248276.233
"Hallenbad Altstetten","Dachslernstrasse",35,9,8048,"Zürich",,"Gastwirtschaft","Offen",678612.533,249163.325
"Hallenstadion","Wallisellenstrasse",45,11,8050,"Zürich",,"Gastwirtschaft","Offen",684005.023,251740.84
"Hallo","Bahnhofpassage ",,1,8001,"Zürich",,"Gastwirtschaft","Offen",683180,247955
"Hammam Basar","Mühlebachstrasse",159,8,8008,"Zürich",,"Gastwirtschaft","Offen",684604.465,245747.246
"Hard Corner","Hardstrasse ",89,4,8004,"Zürich",,"Kleinwirtschaft","Offen",681149.22,248417.824
"Harmonie","Affolternstrasse",146,11,8050,"Zürich",,"Gastwirtschaft","Offen",682565.615,251727.678
"Haus Konstruktiv","Selnaustrasse",25,1,8001,"Zürich",,"Gastwirtschaft","Offen",682587.641,247408.065
"Hausammann","Universitätstrasse ",88,6,8006,"Zürich",,"Nebenwirtschaft","Offen",683796.413,248643.888
"Hausammann","Vorderberg ",5,7,8044,"Zürich",,"Gastwirtschaft","Offen",684620.315,247891.113
"Hauserstiftung Altersheim Höngg","Hohenklingenstrasse ",40,10,8049,"Zürich",,"Gastwirtschaft","Offen",679448.641,250696.181
"Hegibach","Neumünsterstrasse",34,8,8008,"Zürich",,"Gastwirtschaft","Offen",684732.426,246241.674
"Heidi & Tell Co.","Gotthardstrasse",66,2,8002,"Zürich",,"Gastwirtschaft","Offen",682588.096,246566.624
"Heilsarmee","Saatlenstrasse",256,12,8050,"Zürich",,"Gastwirtschaft","Offen",684899.574,251752.059
"Hellas Take Away","Stampfenbachstrasse",63,6,8006,"Zürich",,"Nebenwirtschaft","Offen",683324.646,248394.969
"Helmhaus","Schifflände",30,1,8001,"Zürich",,"Gastwirtschaft","Offen",683496.142,247068.849
"Henrici","Niederdorfstrasse ",1,1,8001,"Zürich",,"Gastwirtschaft","Offen",683457.357,247459.269
"Hermanseck","Birmensdorferstrasse",58,4,8004,"Zürich",,"Gastwirtschaft","Offen",682041.378,247327.967
"Heugümper","Waaggasse",4,1,8001,"Zürich",,"Gastwirtschaft","Offen",683196.962,247185.688
"Hexagon","Schafmattstrasse",36,10,8049,"Zürich",,"Gastwirtschaft","Offen",680849.469,251365.746
"Hiltl Laden","St. Annagasse",18,1,8001,"Zürich",,"Nebenwirtschaft","Offen",682910.572,247540.701
"Himalaya Restaurant & Takeaway","Ackerstrasse",52,5,8005,"Zürich",,"Gastwirtschaft","Offen",682635.542,248604.885
"Hin & Weg Dépôt ","Kalkbreitestrasse",8,4,8003,"Zürich",,"Gastwirtschaft","Offen",681727.579,247615.801
"Hin und Weg","Lagerstrasse","16b",4,8004,"Zürich",,"Gastwirtschaft","Offen",682681.844,247997.979
"Hirschberg","Seilergraben",9,1,8001,"Zürich",,"Gastwirtschaft","Offen",683680.361,247558.481
"Hirschen","Wehntalerstrasse",310,11,8046,"Zürich",,"Gastwirtschaft","Offen",681929.06,251859.446
"Hirschen","Winterthurerstrasse",519,12,8051,"Zürich",,"Gastwirtschaft","Offen",685529.844,250977.955
"Hochschulsportanlage Fluntern","Zürichbergstrasse",196,7,8044,"Zürich",,"Gastwirtschaft","Offen",685726.007,248698.137
"Hofküche","Manessestrasse",172,3,8045,"Zürich",,"Gastwirtschaft","Offen",681851.5,246212.948
"Hofwiesen ","Hofwiesenstrasse",265,6,8057,"Zürich",,"Gastwirtschaft","Offen",682946.276,251192.97
"Hoi An","Uetlibergstrasse",22,3,8045,"Zürich",,"Gastwirtschaft","Offen",681748.424,246544.951
"Holy Cow","Gräbligasse",12,1,8001,"Zürich",,"Gastwirtschaft","Offen",683538.597,247768.672
"Hong Kong","Kalanderplatz ",10,3,8045,"Zürich",,"Gastwirtschaft","Offen",681943.757,245862.961
"Hong Kong Food Paradise","Binzmühlestrasse ",104,11,8050,"Zürich",,"Gastwirtschaft","Offen",683020.176,251995.046
"Hong Kong Take Away","Regensdorferstrasse",5,10,8049,"Zürich",,"Gastwirtschaft","Offen",680011.367,250721.862
"Honold","Rennweg",53,1,8001,"Zürich",,"Gastwirtschaft","Offen",683100.138,247555.941
"Hopfenau","Hopfenstrasse",19,3,8045,"Zürich",,"Gastwirtschaft","Offen",681685.97,246594.524
"Horber","Bahnhofpassage","/ Museumstrasse",1,8001,"Zürich",,"Ausgabestelle","Offen",683229,248024
"Horm-Djan","Winterthurerstrasse",537,12,8051,"Zürich",,"Nebenwirtschaft","Offen",685659.322,251025.854
"Hornbächli","Dufourstrasse",161,8,8008,"Zürich",,"Gastwirtschaft","Offen",684349.651,245504.115
"Hornegg","Seefeldstrasse",201,8,8008,"Zürich",,"Gastwirtschaft","Offen",684677.839,245269.943
"Hot Pasta","Universitätstrasse ",15,6,8006,"Zürich",,"Gastwirtschaft","Offen",683769.5,248128.383
"Hot Pot","Birmensdorferstrasse",222,3,8003,"Zürich",,"Gastwirtschaft","Offen",681295.172,247192.998
"Hotel (Foyer) Hottingen","Cäcilienstrasse",10,7,8032,"Zürich",,"Gastwirtschaft","Offen",684204.148,247145.569
"Hotel Continental","Stampfenbachstrasse ",60,6,8035,"Zürich",,"Gastwirtschaft","Offen",683359.601,248398.234
"Hotel Coronado","Schaffhauserstrasse",137,6,8057,"Zürich",,"Gastwirtschaft","Offen",683215.397,250200.052
"Hotel Flemings","Brandschenkestrasse ",10,1,8001,"Zürich",,"Gastwirtschaft","Offen",682685.036,247106.45
"Hotel Hirschen","Niederdorfstrasse",13,1,8001,"Zürich",,"Gastwirtschaft","Offen",683451.02,247537.052
"Hotel Marta","Zähringerstrasse",36,1,8001,"Zürich",,"Gastwirtschaft","Offen",683532.836,247822.832
"Hotel Montana","Konradstrasse",39,5,8005,"Zürich",,"Gastwirtschaft","Offen",682805.517,248356.365
"Hotel Olympia","Badenerstrasse",324,4,8004,"Zürich",,"Gastwirtschaft","Offen",681048.967,247994.531
"Hotel Restaurant Sternen Oerlikon","Franklinstrasse ",1,11,8050,"Zürich",,"Gastwirtschaft","Offen",683597.166,251450.232
"Hotel St. Gotthard","Bahnhofstrasse","87 / Schützengasse",1,8001,"Zürich",,"Gastwirtschaft","Offen",683117.609,247846.647
"Hotel Stoller","Badenerstrasse",357,3,8003,"Zürich",,"Gastwirtschaft","Offen",680857.248,248065.901
"Hotel ibis budget Zürich City-West","Technoparkstrasse",2,5,8005,"Zürich",,"Gastwirtschaft","Offen",681358.483,249238.315
"Hotel the flag","Baslerstrasse",100,9,8048,"Zürich",,"Gastwirtschaft","Offen",679691.592,249042.304
"Hua Hin Thai","Lettenholzstrasse",2,2,8038,"Zürich",,"Gastwirtschaft","Offen",682454.535,243823.6
"Hua Thai","Hardstrasse",320,5,8005,"Zürich",,"Gastwirtschaft","Offen",681834.72,249383.903
"Höschgasse 33 Market","Höschgasse",33,8,8008,"Zürich",,"Nebenwirtschaft","Offen",684159.76,245753.985
"Hüehnerstall","Regensbergstrasse",186,11,8050,"Zürich",,"Gastwirtschaft","Offen",682934.147,251575.83
"Hühnerhimmel","Forchstrasse",76,8,8008,"Zürich",,"Gastwirtschaft","Offen",684617.735,246320.147
"I love leo frozen yogurt","Oberdorfstrasse",22,1,8001,"Zürich",,"Gastwirtschaft","Offen",683597.397,247041.588
"IKOO","Bäckerstrasse",39,4,8004,"Zürich",,"Gastwirtschaft","Offen",682323.158,247694.489
"Ibis","Heidi-Abel-Weg ",5,11,8050,"Zürich",,"Gastwirtschaft","Offen",684528.656,252269.505
"Ibérico","Milchbuckstrasse",11,6,8057,"Zürich",,"Gastwirtschaft","Offen",683193.059,249970.145
"Idaburg","Gertrudstrasse",44,3,8003,"Zürich",,"Gastwirtschaft","Offen",681276.362,247507.656
"Il Basilico","Birmensdorferstrasse",364,3,8055,"Zürich",,"Gastwirtschaft","Offen",680600.912,247072.818
"Il Caffè","Lagerstrasse",20,4,8004,"Zürich",,"Gastwirtschaft","Offen",682647.059,248030.019
"Il Gallo","Hardstrasse",324,5,8005,"Zürich",,"Gastwirtschaft","Offen",681857.756,249398.749
"Il Giglio","Weberstrasse",14,4,8004,"Zürich",,"Gastwirtschaft","Offen",682305.982,247244.577
"Il Grappolo","Widmerstrasse",64,2,8038,"Zürich",,"Gastwirtschaft","Offen",682648.78,243384.72
"Il Pantheon","Limmattalstrasse",400,10,8049,"Zürich",,"Gastwirtschaft","Offen",678614.744,251026.349
"Il Parmigiano","Schaffhauserstrasse",469,11,8052,"Zürich",,"Gastwirtschaft","Offen",683713.38,252712.795
"Il Pentagramma","Josefstrasse",28,5,8005,"Zürich",,"Nebenwirtschaft","Offen",682694.362,248388.885
"Il Postino","Hirschwiesenstrasse ",9,6,8057,"Zürich",,"Gastwirtschaft","Offen",683417.615,250495.311
"Il Ristorantino","Baumgasse",10,5,8005,"Zürich",,"Gastwirtschaft","Offen",682851.33,248505.645
"Il Salento","Albisriederstrasse",226,9,8047,"Zürich",,"Gastwirtschaft","Offen",679757.66,248159.679
"Il Salotto/Zentraleck","Zentralstrasse",161,3,8003,"Zürich",,"Gastwirtschaft","Offen",681228.292,247782.018
"Il Tartufo","Lavaterstrasse",87,2,8002,"Zürich",,"Gastwirtschaft","Offen",682701.625,246066.399
"Il Tricolore","Meierwiesenstrasse",58,9,8064,"Zürich",,"Gastwirtschaft","Offen",679444.023,249898.293
"Ilter's","Schaffhauserstrasse ",126,6,8057,"Zürich",,"Gastwirtschaft","Offen",683217.861,250098.211
"Imagine","Kalanderplatz",11,3,8045,"Zürich",,"Gastwirtschaft","Offen",681954.022,245814.165
"Imbiss","Langstrasse",213,5,8005,"Zürich",,"Ausgabestelle","Offen",682418.105,248607.321
"Imbiss Oerlikon","Baumackerstrasse",35,11,8050,"Zürich",,"Gastwirtschaft","Offen",683418.641,251484.481
"Imbiss-Kiosk Furttal","Wehntalerstrasse",597,11,8046,"Zürich",,"Ausgabestelle","Offen",680215.369,252788.795
"In der Ey","In der Ey",29,9,8047,"Zürich",,"Gastwirtschaft","Offen",679379.089,247533.402
"Incontro","Zypressenstrasse",50,4,8004,"Zürich",,"Gastwirtschaft","Offen",681140.77,247944.98
"Indian Palace 2","Eisfeldstrasse",2,11,8050,"Zürich",,"Gastwirtschaft","Offen",683554.405,252149.954
"Inter & Venus Bar","Franklinstrasse",9,11,8050,"Zürich",,"Gastwirtschaft","Offen",683529.127,251480.844
"Isakaya","Waisenhausstrasse",5,1,8001,"Zürich",,"Gastwirtschaft","Offen",683214.598,247876.992
"Isebähnli","Hagenholzstrasse",51,11,8050,"Zürich",,"Gastwirtschaft","Offen",684179.108,252138.775
"Island Ceylon","Rütschistrasse",29,10,8037,"Zürich",,"Gastwirtschaft","Offen",682477.432,249790.736
"Italia","Zeughausstrasse",61,4,8004,"Zürich",,"Gastwirtschaft","Offen",682362.25,247853.369
"Italian Monkey","Limmatstrasse",273,5,8005,"Zürich",,"Gastwirtschaft","Offen",682049.482,249209.721
"Italiano Heimelig","Fröhlichstrasse",39,8,8008,"Zürich",,"Gastwirtschaft","Offen",684429.553,245461.997
"Jacky's Wok","Aemtlerstrasse",86,3,8003,"Zürich",,"Gastwirtschaft","Offen",681200.438,247558.234
"Jacky's Wok","Zentralstrasse",10,3,8003,"Zürich",,"Gastwirtschaft","Offen",681731.835,247223.941
"Jaime Latinamerica Arts + Craft","Otto-Schütz-Weg ",5,11,8050,"Zürich",,"Nebenwirtschaft","Offen",683178.056,252140.423
"Japanese","Grimselstrasse ",2,9,8048,"Zürich",,"Gastwirtschaft","Offen",679312.196,248997.9
"Jasmin","Herzogenmühlestrasse",4,12,8051,"Zürich",,"Gastwirtschaft","Offen",685616.101,251050.365
"Jelmoli Warenhaus","Seidengasse",1,1,8021,"Zürich",,"Gastwirtschaft","Offen",683005.256,247632.696
"Jeunesse","Wehntalerstrasse",120,6,8057,"Zürich",,"Gastwirtschaft","Offen",682691.385,250948.767
"Joey's Coffee & Kitchen","Goldbrunnenplatz",2,3,8055,"Zürich",,"Gastwirtschaft","Offen",681208.134,247137.619
