"Betriebsname","Strasse","Nr.","Kreis","PLZ","Ort","Oeffnungszeit","Betriebsart","Status","X","Y"
"Kepi's  Food GmbH","Ankerstrasse",116,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682300.547,247859.531
"Kino Riff Raff","Neugasse",57,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682361.29,248549.766
"Kino Riff Raff","Neugasse",63,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682334.594,248567.052
"Klosbächli","Klosbachstrasse",39,7,8032,"Zürich","0200/frei","Gastwirtschaft","Offen",684454.559,246757.295
"Kulturmarkt","Aemtlerstrasse ",23,3,8003,"Zürich","0200/frei","Gastwirtschaft","Offen",681323.633,247303.499
"La Catrina","Kurzgasse",4,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682243.349,247944.799
"La Stanza","Bleicherweg ",10,2,8002,"Zürich","0200/frei","Gastwirtschaft","Offen",682952.612,246990.911
"Lasalle (Erdgeschoss)","Schiffbaustrasse",4,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",681589.711,249209.685
"Le Cactus","Kanonengasse",33,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682422.556,248054.644
"Liquid","Zwinglistrasse",12,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682360.714,248061.174
"M.B. Bistro","Zypressenstrasse",50,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",681140.77,247944.98
"Maag Music + Event Hall","Zahnradstrasse ",22,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",681383.381,248973.82
"Magnusbar","Schöneggplatz",1,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682062.988,248299.643
"Mali Raj","Friesstrasse",10,11,8050,"Zürich","0200/frei","Gastwirtschaft","Offen",683636.971,252076.036
"Marché Mövenpick","Beethovenstrasse",32,2,8002,"Zürich","0200/frei","Gastwirtschaft","Offen",682899.916,246847.852
"Marisqueira Atlantico Bar","Hohlstrasse",365,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",680781.442,248772.913
"Mc Donald's","Hofwiesenstrasse",354,11,8050,"Zürich","0200/frei","Gastwirtschaft","Offen",683353.18,251659.653
"Mellow Bar","Albisstrasse",84,2,8038,"Zürich","0200/frei","Gastwirtschaft","Offen",682469.959,243873.595
"Memo Cafebar","Badenerstrasse",676,9,8048,"Zürich","0200/frei","Gastwirtschaft","Offen",679087.228,249105.992
"Meylenstein","Bellerivestrasse ",261,8,8008,"Zürich","0200/frei","Gastwirtschaft","Offen",684928.198,244806.478
"Nachtflug","Stüssihofstatt",4,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683440.567,247450.724
"Neugasshof","Neugasse",35,5,8005,"Zürich","0200/Frei","Gastwirtschaft","Offen",682439.458,248483.113
"Papiersaal","Kalanderplatz ",1,3,8045,"Zürich","0200/frei","Gastwirtschaft","Offen",681936.061,245809.572
"Peperoncino","Birmensdorferstrasse ",169,3,8003,"Zürich","0200/frei","Gastwirtschaft","Offen",681539.543,247162.67
"Pizza-Blitz","Dörflistrasse",117,11,8050,"Zürich","0200/frei","Gastwirtschaft","Offen",683653.548,251709.113
"RAYGRODSKI","Sihlfeldstrasse",49,3,8003,"Zürich","0200/frei","Gastwirtschaft","Offen",681420.404,247655.935
"Regenbogen","Rosengasse",6,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683423.555,247506.131
"Rio Bar","Gessnerallee ",17,1,8001,"Zürich","0200/Frei","Gastwirtschaft","Offen",682851.803,247853.753
"Rossi","Sihlhallenstrasse",3,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682204.764,248195.806
"Safari Bar","Zähringerstrasse",29,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683513.822,247770.016
"Sansibar","Militärstrasse",114,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682284.646,248201.921
"Sasso","Seestrasse ",331,2,8038,"Zürich","0200/frei","Gastwirtschaft","Offen",682731.743,244640.984
"Schoffel","Schoffelgasse",7,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683461.092,247295.115
"Sherif's Bar","Glasmalergasse",2,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682428.062,247623.005
"Sip's Pub","Schaffhauserstrasse",380,11,8050,"Zürich","0200/frei","Gastwirtschaft","Offen",683640.436,251859.541
"Sport","Kanzleistrasse",76,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682009.638,247768.977
"Suan Long","Langstrasse",11,4,8004,"Zürich","0200/Frei","Gastwirtschaft","Offen",681997.535,247682.054
"Take Away Flash","Kalkbreitestrasse",136,3,8003,"Zürich","0200/frei","Gastwirtschaft","Offen",681195.881,247187.07
"Thai Tawan","Ackerstrasse",56,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682651.872,248619.867
"The Dynasty Club","Zähringerstrasse",11,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683519.776,247656.703
"Toro Bar","Schöneggstrasse",25,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682121.411,248289.146
"Total","Tellstrasse",19,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682317.693,248113.798
"Triibhuus","Salzweg",50,9,8048,"Zürich","0200/frei","Gastwirtschaft","Offen",677806.279,248936.019
"Trübli Grotto Bar","Zeughausstrasse",67,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682345.882,247870.561
"Turm","Obere Zäune",19,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683542.005,247342.316
"Valentins Bar","Gasometerstrasse",36,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682391.074,248775.461
"Valmann","Talstrasse ",58,1,8001,"Zürich ","0200/frei","Gastwirtschaft","Offen",682892.89,247197.008
"Vasco's Bar","Bäckerstrasse",20,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682409.88,247638.266
"Vineria Centrale","Neugasse",42,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682413.337,248542.276
"Werkhof","Brauerstrasse",97,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",681938.189,248189.276
"Wüste Bar","Oberdorfstrasse",7,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683609.47,247000.338
"Z am Park","Zurlindenstrasse",275,3,8003,"Zürich","0200/Frei","Gastwirtschaft","Offen",681004.208,247851.794
"Zelg","Zelgstrasse",2,3,8003,"Zürich","0200/frei","Gastwirtschaft","Offen",681894.486,246826.712
"Zum Turicer","Schmidgasse",3,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683446.986,247693.386
"Zunfthaus zur Saffran ","Limmatquai",54,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683418.448,247327.049
